id,uuid,img_url,thumbnail
01427,sm4516bfcbabe634b72815c2c5075237fbd,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_921,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_921/full/250,/0/default.jpg"
01428,sm4a90d348b0d0543d29f9144cc09355c78,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_920,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_920/full/250,/0/default.jpg"
01429,sm4bacdcc8a442c4c9a8a5661a23c460508,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_92,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_92/full/250,/0/default.jpg"
01430,sm4dd621d0341214d8d875ec9fd72fbeb4e,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_919,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_919/full/250,/0/default.jpg"
01431,sm4127e0a75271a41db8cf404f0ed818ad9,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_918,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_918/full/250,/0/default.jpg"
01432,sm475685bf5865645a6b861e94faf782707,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_917,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_917/full/250,/0/default.jpg"
01433,sm4a93768222a4b450c9cee5ab4bf3f79c5,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_916,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_916/full/250,/0/default.jpg"
01434,sm49de01e99116f4ce7b74a70f9b879c291,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_915,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_915/full/250,/0/default.jpg"
01435,sm43c50b656a40b4e7e806581c51e6afe11,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_914,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_914/full/250,/0/default.jpg"
01436,sm4e63ba832fbc64b438914a5991ee59663,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_913,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_913/full/250,/0/default.jpg"
01437,sm4d406c168669a4ec9b510facbd4828749,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_912,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_912/full/250,/0/default.jpg"
01438,sm47762731ed2ac492eb52a2ebba15814f0,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_911,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_911/full/250,/0/default.jpg"
01439,sm4d7b69a49a8ff40028f545606119b0327,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_910,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_910/full/250,/0/default.jpg"
01440,sm40aa03086d2d54f25bbec502aa7ef46a4,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_91,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_91/full/250,/0/default.jpg"
01441,sm4fa8790cd51d64b76853d778c3018c4ae,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_909,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_909/full/250,/0/default.jpg"
01442,sm44d74e80a3bfe479db4ce8404c555a006,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_908,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_908/full/250,/0/default.jpg"
01443,sm460bcea0af01e4290818f52e728d02213,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_907,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_907/full/250,/0/default.jpg"
01444,sm4587fdfb99a1f4426b91086b181b7e0be,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_906,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_906/full/250,/0/default.jpg"
01445,sm482578479d2f14b58a961fc067523bf5f,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_905,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_905/full/250,/0/default.jpg"
01446,sm40517f7cc9c4f47ac8f0451a275e2ccbf,https://ids.si.edu/ids/deliveryService?id=NPG-S_NPG_2002_184_904,"https://ids.si.edu/ids/iiif/NPG-S_NPG_2002_184_904/full/250,/0/default.jpg"
