font,char,pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40
inconsolata,E,2.220033,0.917998,-0.474259,0.474871,1.736815,0.703849,2.861628,-0.035495,-2.535933,-0.22285,-1.203486,-1.690642,2.080198,1.073703,0.242897,-2.725537,0.529199,-1.127059,-0.758651,-0.064999,1.502215,1.22598,-3.038541,0.653068,0.162666,0.838114,1.33796,2.02557,0.112228,-0.297876,-0.197776,0.06776,-1.368596,-1.461308,0.160327,0.321179,-2.017945,1.608866,-0.527128,-0.318916,0.0
inconsolata,F,-0.365895,-1.653702,2.4188,0.385299,0.9306,2.524202,-0.757154,-2.946954,-0.627357,-2.689224,-0.753319,2.637719,2.640254,0.47912,-1.654075,0.308031,0.903095,-0.74699,0.688898,-2.231497,2.655698,1.052209,-0.143846,-1.673517,-1.555219,0.932251,0.444792,0.479401,0.036504,1.744343,-0.070493,-0.885485,-1.59738,0.09152,-1.882033,0.637265,-1.780279,0.511318,0.125426,0.638187,-0.0
inconsolata,G,0.01044,-0.218756,1.810964,-0.207064,-2.888427,0.717667,-1.297518,-0.139565,1.739067,-1.346905,-0.457064,-0.220043,-1.015438,-0.51466,-0.187327,-2.553936,0.494925,1.230768,-1.112892,0.542063,0.77403,-0.288364,1.003587,-1.228934,3.141528,-0.252602,-0.33705,-0.697742,-0.063527,0.554236,-0.131378,-0.051834,0.608954,-1.382524,0.571943,-0.415775,-0.01514,0.231835,-0.083729,-0.312286,-0.0
inconsolata,H,-0.087625,-0.083663,3.194849,-2.572084,-1.823251,-2.586835,1.650571,-1.116223,0.228248,-2.790065,0.623876,0.333437,-1.2913,0.704268,-1.238896,-0.171353,0.78076,0.316162,-0.001134,0.729337,-1.743629,-2.915068,1.612966,-1.887913,-0.553721,2.357434,0.092162,1.141725,1.037587,0.632968,0.348859,2.547183,-0.061842,-0.242413,-1.676206,0.187587,-0.140823,0.972503,0.933459,-1.358223,0.0
inconsolata,I,8.659809,6.161825,2.119524,-1.433345,-5.593295,3.491013,0.238929,-0.274086,0.091775,2.014111,-0.219448,0.635753,0.33291,0.671432,-1.18768,1.232204,0.31126,1.378269,-0.346942,0.401262,0.138352,0.084545,0.013559,-0.009003,0.043144,0.010675,0.002733,-0.002465,-0.000208,-0.00213,-0.001898,-0.001848,0.00027,-0.000197,-0.000119,0.000481,-0.000266,-0.000125,0.000182,0.000227,-0.0
inconsolata,J,-1.113607,7.0128,4.361303,-0.001119,-0.643618,-0.377013,-1.784403,-2.305656,3.79039,1.991658,1.493146,2.870004,0.48154,2.452581,0.91927,-0.434051,1.303463,-0.270638,-1.303415,0.258278,-0.359524,-1.8119,-1.375681,1.393518,0.335893,-1.735725,0.185673,1.98154,0.841306,-0.651365,0.197527,-0.511087,-0.305026,-0.068905,0.111203,-0.127886,-0.434367,-0.085635,0.370881,-0.368888,-0.0
inconsolata,K,-1.474958,-2.521303,0.532131,-0.033804,1.385128,1.924812,0.525228,-0.034642,-0.276077,1.443822,-1.729822,-0.686324,-1.951105,-0.410565,-1.569146,0.588448,-0.401692,-0.770986,-1.391276,1.838793,-1.400999,-0.194677,0.173387,2.861506,0.0541,1.989751,-1.569009,3.636168,0.710466,-1.127546,-0.517633,1.517067,-0.992578,1.154313,1.731222,0.636336,1.572425,0.764988,-0.316721,-2.090561,-0.0
inconsolata,L,-2.430198,-3.98393,-1.273549,1.06981,1.262702,-0.403992,-0.477628,-1.498777,1.127955,-1.628784,-0.008054,4.579375,-2.956767,-0.731377,0.689566,1.532444,-0.833931,0.390093,-0.190511,-0.027495,-0.227365,-0.119887,0.012015,-1.537545,0.234586,0.849078,0.102695,-0.103005,-2.258965,-1.26348,-1.09291,0.524906,-1.092442,1.120733,1.918275,0.116822,1.583243,0.636524,-0.34064,-0.279033,0.0
inconsolata,M,-9.495331,1.937955,0.851515,-0.10717,-1.329131,-0.189698,-2.197208,-2.791225,0.060461,2.983828,0.865946,-0.250971,0.075518,4.867311,1.191007,4.253436,-0.569972,1.98634,-0.299317,1.751166,-0.205341,0.294744,0.300661,1.653962,0.512829,0.51976,1.554101,2.818209,0.558129,0.344925,0.098553,-0.398392,0.245626,0.153003,0.215627,0.218931,-0.622145,0.237497,0.114825,-0.223479,-0.0
inconsolata,N,0.994014,-0.836488,-2.5099,3.081154,-1.657054,-0.129215,-0.539097,0.769221,0.459597,-1.362243,3.703212,-2.659011,1.505204,-1.266734,1.776615,1.52793,-0.428035,-0.397383,0.085207,0.591156,-0.472003,0.367023,1.240486,0.225017,1.390253,0.463967,2.341897,-0.176599,-1.368321,0.366583,-0.122426,-1.600889,0.763649,-1.401332,-0.625344,0.215371,0.816859,-0.909392,-0.738988,0.124274,0.0
inconsolata,O,-2.413196,-0.798049,0.048719,0.046706,0.871144,0.791693,-0.072588,-0.441943,0.625495,0.690134,-2.239533,-1.022962,0.153534,0.664405,-0.517538,0.14061,0.022695,-1.739611,1.198406,-0.42302,-0.259262,0.198119,1.070746,0.555786,-0.564073,0.676002,-0.046965,-0.127109,1.083144,0.757211,-0.22028,-0.141884,-0.455655,0.349804,-0.033362,0.043113,0.215992,-0.109305,0.09699,-0.028826,0.0
inconsolata,P,-2.275424,2.452821,4.454528,2.115825,-0.532058,1.664844,0.18877,-1.038163,0.34737,2.221639,1.733907,0.702399,-1.129031,0.798176,-1.81484,0.153071,1.163043,2.034931,-1.123301,-1.967178,0.336094,0.235702,0.846323,-0.588736,0.835739,-2.425775,-1.507814,-0.353907,-1.216002,1.015527,-0.848029,0.729572,1.97015,0.537177,-0.059521,0.409698,0.769896,-0.433441,0.119414,-1.115034,0.0
inconsolata,Q,-3.772702,-1.747772,0.13385,0.95784,1.457344,1.993598,0.441641,-0.37899,0.779625,1.392653,0.429106,-1.044655,-0.545857,1.379369,-1.10751,-0.689764,0.392562,0.361243,1.15692,0.338218,-1.120974,1.138176,0.754781,1.076265,-0.333242,-0.968736,-0.390276,-1.953742,0.521335,0.274731,-1.20546,-0.315139,-0.585742,-0.123719,-0.25009,0.903096,0.187863,-1.184701,0.464802,-0.02398,-0.0
inconsolata,R,-4.393,-1.386933,0.323369,-2.568253,-0.063544,0.568051,0.734631,-0.463436,0.044779,1.266072,-0.087885,-0.069906,1.496015,0.921057,-0.229599,-0.624539,-1.524461,0.934476,0.957155,0.755278,0.623895,3.539559,1.123796,-0.813136,0.983592,-2.553311,0.135664,1.778115,-0.150587,1.018487,-1.927079,-0.93819,-0.013891,0.29256,-0.918842,1.509335,0.905614,-0.383417,-0.819572,1.942048,0.0
inconsolata,S,-2.967813,-1.25296,0.477777,-1.522322,0.151322,0.115252,0.061507,-1.623868,1.974991,0.043175,0.460904,0.323574,1.344557,0.211425,-1.173681,-1.302643,-0.028343,0.738862,-0.752212,-1.885809,-2.861477,1.700052,-0.19999,1.73747,-0.240977,-0.211155,3.507458,-0.534003,-0.087786,-0.720923,-1.081659,-0.140436,0.253277,-0.613474,-1.066273,-2.284087,-0.313921,-1.289826,1.145293,0.559803,-0.0
inconsolata,T,-3.726661,-0.029381,0.129874,0.605133,0.698559,-0.995317,0.15081,-0.388705,1.159551,-0.227678,0.263318,-0.107253,-0.088496,0.898686,-0.076825,-0.632065,0.395418,2.240184,-0.341467,-1.356786,-0.226271,0.167278,1.599786,-0.083163,0.418994,0.933149,0.252977,1.504802,2.216809,2.250113,-1.200465,-0.245201,-1.288307,-0.986452,0.732828,-0.756065,0.052947,1.273597,-0.293601,-1.2424,-0.0
